id,myTime,myFramerate,myResolution,shaderTitle,shaderStatsLikes,shaderAuthorName,shaderAuthorDate,shaderStatsViewed,shaderDescription,shaderStatsComments
36,2.06,60.0 fps,420 x 236,Warping - procedural 2,593,iq,2013-04-10,160413,Warp. Tutorial here: https://iquilezles.org/articles/warp,12
37,1.81,60.0 fps,420 x 236,Very fast procedural ocean,517,afl_ext,2017-03-09,158847,It's fast because it doesn't use noise but rather sin waves,20
38,0.00,00.0 fps,420 x 236,Selfie Girl,585,iq,2020-11-28,156914,"A raymarched procedural SDF - a girl taking a selfie, this time. Making of video here: https://www.youtube.com/watch?v=8--5LwHRhjk",73
39,1.10,59.9 fps,420 x 236,Flame,1109,XT95,2013-02-15,156185,Simple flame in distance field.,32
40,0.06,0.4 fps,420 x 236,Happy Jumping,844,iq,2019-07-24,154136,"A happy and blobby creature jumping. It gets off-model very often, but it looks good enough. Making of and related math/shader/art explanations (6 hours long): https://www.youtube.com/watch?v=Cfe5UQ-1L9Q. ",104
41,0.96,59.3 fps,420 x 236,Voxel Edges,887,iq,2013-08-14,139518,"Correct edge detection for voxels. The marching function is fb39ca4's DDA, but using floating point operations instead of integers. The most interesting bits are probably the exact 3D intersector, the occlusion and the edge detection code.",38
42,0.00,00.0 fps,420 x 236,[SIG15] Mario World 1-1,513,knarkowicz,2015-07-29,138831,NES Super Mario Bros. World 1-1. My favorite game moment (just like for most kids in the early 90s). 20 years later implemented in a single shader.,67
43,0.85,63.5 fps,420 x 236,Wolfenstein 3D,243,reinder,2013-09-25,133022,Experiment to generate some well-known textures (from the first-person shooter video game developed by id Software) in a textureless shader.,25
44,0.81,46.7 fps,420 x 236,Cube lines,620,morimea,2021-03-13,123132,"Art shader.

Cineshader support https://cineshader.com/view/NslGRN

This shader as Desktop wallpaper in linux:
for KDE https://store.kde.org/p/1505365
for Gnome https://www.gnome-look.org/p/1505898/",50
45,0.87,61.1 fps,420 x 236,Mike,140,iq,2013-05-03,121580,"Raymarching (a simplified version of) Mike's procedural distance field. Modeling and shading are pretty arbitrary, and made after the first picture you get in google image when you type his name. You can see him in 3D if you uncomment line 9.",32
46,2.16,60.1 fps,420 x 236,another synthwave sunset thing,99,stduhpf,2020-04-16,118952,"I was thinking of a way to make pseudo tesselation noise and i made this to illustrate it, i might not be the first one to come up with this solution.

Now as a music visualizer! (channel 0, remove line 9)",9
47,1.23,60.0 fps,420 x 236,Planet Shadertoy,432,reinder,2015-03-30,109374,"A seamless space-to-surface flight. This is a tribute to all the great shaders on Shadertoy! Use chrome without angle (or a Mac) and run this shader on med, or high settings (line 4 or 5) to get the full shader and the detail I was aiming for.",28
48,2.48,60.0 fps,420 x 236,Protean clouds,1674,nimitz,2019-05-27,108861,"Fully procedural 3D animated volume with three evaluations per step (for shading) running fast enough for 1080p rendering.

Featuring simple mouse interaction.",80
49,0.70,59.9 fps,420 x 236,Fovea detector,251,nimitz,2014-04-26,99142,Look at any specific point and you should clearly see the extent of your fovea (the stars only seem to be rotating in a small circle at the center of your vision). Move your head back and forth to see it grow/shrink. Works better in full screen mode.,11
50,2.26,60.0 fps,420 x 236,Voronoi - distances,500,iq,2013-05-22,98905,Mathematically correct Voronoi cell interior distances and hence correct cell borders. Seems nobody out there is doing this correctly... So here. More info in this article,24
51,1.36,60.0 fps,420 x 236,Fractal Land,1030,Kali,2013-11-07,98035,,75
52,0.77,63.2 fps,420 x 236,Cubescape,597,iq,2013-03-04,96737,Pulsating rounded cubes. Mixes raytracing in a (2D) grid and raymarching within a cell.,19
53,2.52,60.0 fps,420 x 236,Palettes,481,iq,2015-06-02,93674,"Cosine based palettes (faster than linear interpolation or triangle waves). 
More info: http://iquilezles.org/articles/palettes",17
54,2.50,60.0 fps,420 x 236,Voronoise,344,iq,2014-01-15,90111,"Patterns such as cell-noise, perlin noise and voronoi can be seen as particular cases of a more general pattern, which I call ""voronoise"". More info in this article. ",20
55,2.07,60.0 fps,420 x 236,Cloudy Terrain,504,iq,2013-07-01,89692,A terrain full of trees or something (up to your interpretation). Distance field raymarching for the terrain. Linearly volumetric raymarching for the foliage. Linearly volumetric raymarching for clouds. Plain plane Raytraced for lakes.,16
56,1.55,60.0 fps,420 x 236,Umbrellar,197,candycat,2015-09-06,88141,Draw a umbrellar,21
57,0.00,00.0 fps,420 x 236,Music - Pirates,646,iq,2014-07-31,83383,"An improvement on the music sequencing strategy, much better than that used in the Mario shader. This one supports polyphony (within the same channel) and is much more compact (which means that it does compile)",39
58,1.68,60.0 fps,420 x 236,Heartfelt,929,BigWIngs,2017-12-17,83071,"If you want to really get sad then be sure to watch with sound  ;)
If you want to see and control the rain, comment out the HAS_HEART define
Controls: Mouse x = scrub time  y = rain amount (only without heart)",52
59,0.00,00.0 fps,420 x 236,Tribute - Journey!,655,Shakemayster,2017-03-17,82380,"This is just a tribute, to the greatest game in the world, ah,
guh fli-goo ga goo buh dee
Ooh guh goo bee, ooh guh guh bee guh guh bee
Fli-goo gee goo, a-fli-guh woo wa mama Lucifer!",111
60,2.27,59.9 fps,420 x 236,Buoy,440,TekF,2013-09-09,79164,"A ray-traced sphere floating in a ray-marched ocean. Refraction & reflection effects.
It looks particularly nice when you pause it and move the camera.",57
61,0.47,1.4 fps,420 x 236,The Drive Home,796,BigWIngs,2017-07-02,78430,"See comment block for details. Use mouse to scrub time. Hope you like it!

Video of the effect:
https://www.youtube.com/watch?v=WrxZ4AZPdOQ

Making of tutorial:
https://www.youtube.com/watch?v=eKtsY7hYTPg",74
62,,,,,,,,,,
63,2.64,60.0 fps,420 x 236,Rainier mood,249,Zavie,2017-03-13,73849,"Improving upon https://www.shadertoy.com/view/XslcWn by avoiding using pixel derivatives (which are shared by 2x2 blocs, thus give an aliased look).
To do: fix a glitch between tiles.

Click and drag to change scale.",24
64,0.00,00.0 fps,420 x 236,E1M1 - Hangar,181,P_Malin,2014-09-11,73672,"The start area of Doom E1M1.
Hold down the mouse button and drag the mouse to move.
Where you click relative to the center of the screen sets the view direction.

Also, check out Reinder's excellent Doom2 shader: https://www.shadertoy.com/view/lsB3zD",49
65,2.29,59.9 fps,420 x 236,Star Nest,1121,Kali,2013-06-17,72435,3D kaliset fractal - volumetric rendering and some tricks. I put the params on top to play with. Mouse enabled to explore different regions. ,55
66,0.77,35.2 fps,420 x 236,[NV15] Space Curvature,674,iq,2015-03-19,70107,Space curvature. Sphere is raytraced. Plane is raymarched. Atmospheric glow is analytical,38
67,0.86,61.5 fps,420 x 236,Main Sequence Star,705,flight404,2013-03-12,69680,"Inspired by trisomie21's 3d noise fireball, I made some tweaks and ended up with a star.

EDIT: Fixed the negative sqrt issue as per iq's suggestion.",17
68,0.94,59.9 fps,420 x 236,Hash without Sine,598,Dave_Hoskins,2014-09-01,68257,"A shader Hash function that is the same on all systems and doesn't rely on trig functions. New hash on the left, sine hash function on the right. It appears to be the same efficiency, but I suppose that depends on the hardware.",198
69,1.36,60.0 fps,420 x 236,Dolphin,279,iq,2014-02-03,66995,"Dolphin jumping (with very broken geometry and UVs, and water normals)",25
70,1.82,60.0 fps,420 x 236,Starleidoscope,98,DanielXMoore,2021-11-02,66937,Followed some TheArtOfCodeTutorials and ended up with this!,6
71,1.61,60.1 fps,420 x 236,Bricks Game,445,iq,2016-01-04,66202,Use arrow keys or the mouse to move the paddle. Use space to restart. This shader uses the new Multipass system,62
72,0.91,63.1 fps,420 x 236,Sphere - projection,128,iq,2014-02-11,65684,"Analytic projection of a sphere to screen pixels. Spheres in world space become ellipses in clip space. The ellipses can be analytically determined from the camera and sphere geometry. This shaders computers their center, axis and area in raster pixels.",12
73,0.85,63.6 fps,420 x 236,Menger Sponge,138,iq,2013-01-14,65166,Four iterations of the famous fractal structure. See https://iquilezles.org/articles/menger for the full explanation of how this was done.,9
74,2.02,59.9 fps,420 x 236,Noise Contour,367,candycat,2016-04-14,64906,Draw noise contour by multi passes. Full-screen shows more detail. Mouse dragging is available. Try use videos as texture ,14
75,1.78,60.1 fps,420 x 236,Rhodium liquid carbon,789,Virgill,2016-10-16,63300,"Liquid carbon effect from Rhodium 4k Intro
4kb executable: http://www.pouet.net/prod.php?which=68239
https://www.youtube.com/watch?v=YK7fbtQw3ZU",41
76,1.46,60.1 fps,420 x 236,GLSL smallpt,160,Zavie,2013-09-03,63275,"An attempt at writing a GLSL version of smallpt.
http://www.kevinbeason.com/smallpt/
See the comments for details.

The image converges over time but it doesn't support resizing.",18
77,0.00,00.0 fps,420 x 236,Ladybug,290,iq,2017-11-19,62952,"A ladybug on a mushroom. It renders really slowly. Sorry for that, this is not meant to be rendered with raymarching really, but well, here we are. I'll get a pass later",76
78,1.96,60.1 fps,420 x 236,Pinku,52,adamgoodapp,2021-07-21,63121,FBM,0
79,1.52,60.0 fps,420 x 236,2D Clouds,731,drift,2016-11-13,61807,"Used in 2 different demos:
http://www.pouet.net/prod.php?which=66590
and
http://www.pouet.net/prod.php?which=68483",37
80,2.62,60.1 fps,420 x 236,GLSL 2D Tutorials,646,vug,2014-03-08,59197,28 tutorials on writing pixel shaders at Shadertoy. Written by a beginner for beginners.  ^_^,100
81,2.01,60.0 fps,420 x 236,molten bismuth,465,flockaroo,2019-11-27,56522,"some self-consistency improvements of (https://www.shadertoy.com/view/MsGSRd).
cornusammonis' latest fluid stuff reminded me to give that another try - also tried to use mipmaps, but looked better without in the end... use mouse to push fluid",16
82,0.00,00.0 fps,420 x 236,Skyline,429,otaviogood,2015-09-24,56481,"I have always wanted to make a procedural city. The architecture was limited by what I could do in real-time, but I tried to give it enough complexity that it would look realistic.",55
83,2.35,60.1 fps,420 x 236,Warp Speed 2,67,Dave_Hoskins,2015-11-12,56270,"Warp Speed 2 
Fork of:- https://www.shadertoy.com/view/Msl3WH
I had another look at an old shader.",6
84,0.86,62.3 fps,420 x 236,Canyon,329,iq,2014-02-12,55977,"Another terrain, a quick one. Same concept as Elevated, just a different terrain shape.",12
85,0.00,00.0 fps,420 x 236,Where the River Goes,400,P_Malin,2015-09-12,54718,"What started as a hacked flow and advection experiment turned into something nice.

If you have a (very) fast GPU, try uncommenting #define ENABLE_ULTRA_QUALITY",29
86,1.01,59.9 fps,420 x 236,Monster,255,iq,2013-09-19,53661,"Rotating, translating and reflecting a sphere 22 times (and using orbit trapping for coloring). Raymarching and lighting as usual.",15
87,2.50,60.0 fps,420 x 236, expansive reaction-diffusion,943,Flexi,2016-01-06,52829,"featuring a two-pass 9x9 Gaussian Blur pipeline for the diffusion, gradient lookup for morphological expansion, and a simple differential ""Turing Pattern"" reaction. Lookout, there are 3 more diffused channels ",42
88,1.42,60.0 fps,420 x 236,VolumetricIntegration,556,SebH,2015-08-29,51959,"A volumetric rendering demo.
This shader also presents the advantage of integrating analytically the scattered light within participating media having high scattering value.",46
89,0.00,00.0 fps,420 x 236,Greek Temple,313,iq,2017-04-23,51980,A basic temple model. Terrain is false perspective. No global illumination. Two sun directions. Ambient occlusion is mostly painted by hand. Bounce lighting is also painted by hand. Live coded: https://www.youtube.com/watch?v=-pdSjBPH3zM,42
90,1.49,60.0 fps,420 x 236,Hell,630,iq,2013-08-01,51756,"A variation of my Clouds shaders, made to look more like we are sinking to the very center of hell. Some postprocessed bloom effect would look awesome in this.",14
91,2.34,60.0 fps,420 x 236,Texture - Better Filtering,225,iq,2013-04-23,51315,This shader shows how to avoid the ugly artifacts of bilinear texture filtering. You can find more information here https://iquilezles.org/articles/texture,8
92,0.14,1.2 fps,420 x 236,[NV15] Impact,221,cabbibo,2015-03-18,50982,"-----------------------------
> >> I M P A C T  <<<
-----------------------------

The story of a planet, and its quest to get close to a new friend!

Code / Help from: 
@lukexi , @thespite , @mrdoob , @iq , @nimitz , @AND",31
93,0.64,61.4 fps,420 x 236,Grid of Cylinders,289,iq,2013-12-11,49468,"Using a 2D regular grid as acceleration structure for raytracing (an infinite amount of) cylinders. I trace across the 2D grid and then intersect the cylinder inside each cell. When the first intersection is found, the tracing can stop.",11
94,0.95,59.9 fps,420 x 236,Mandelbrot - distance,206,iq,2013-05-31,49177,"Distance estimation to the Mandelbrot set. Basically, distance(c) = |G(c)|/|G'(c))|. More info in url=https://iquilezles.org/articles/distancefractals]this article[/url].",5
95,2.16,60.1 fps,420 x 236,Noise - value - 3D,233,iq,2013-07-03,49004,A test for LUT based 3D (value) noise which is much faster than its hash based (purely procedural) counterpart. http://en.wikipedia.org/wiki/Value_noise,29
96,1.99,60.0 fps,420 x 236,Plasma Globe,780,nimitz,2014-09-10,48732,"My first attempt at recreating a real world object.  I tried making the sphere glow based on ray position but it didn't look better and was much more expensive.

Mouse drag to rotate.",28
97,1.56,60.0 fps,420 x 236,Filtering procedurals,183,iq,2013-11-09,48054,One way to decouple material pattern/texturing/shading from lighting and visibility. The (procedural) texture is adaptively filtered/supersampled based on ray differentials (max 100 samples) at a rate independent of the lighting and visibility/tracing.,9
98,0.00,00.0 fps,420 x 236,Mountains,315,Dave_Hoskins,2013-06-06,47428,"A Shader version of my terrain renderer:-
http://www.youtube.com/watch?v=qzkBnCBpQAM
USE MOUSE > TO SHIFT TIME


Video of my OpenGL version that uses streaming texture normals for speed...
http://www.youtube.com/watch?v=qzkBnCBpQAM",45
99,1.97,60.0 fps,420 x 236,UI noise halo,88,magician0809,2019-11-29,46529,UI noise halo,1
100,0.61,58.3 fps,420 x 236,Tokyo,290,reinder,2014-12-07,46101,Tokyo by night in the rain. The car model is made by Eiffie (Shiny Toy': https://www.shadertoy.com/view/ldsGWB). I have never been in Tokyo btw.,31
101,0.00,00.0 fps,420 x 236,Surfer Boy,201,iq,2018-11-21,44764,"A surfer boy in the beach, in pixar style unapologetically. I had to compromise quality so it would compile in my CPU, and had to model and paint it to camera. I took out the animation. If you have a slow PC: https://www.youtube.com/watch?v=ya3FRzuozQ0",36
102,0.99,61.4 fps,420 x 236,Kleinian limit set-Maskit slice ,52,JosLeys,2016-12-28,44310,2D limit set,6
103,0.00,00.0 fps,420 x 236,[SH16B] Speed Drive 80,254,knarkowicz,2016-07-17,43534,"I was listening to Blood Dragon Theme when the 2nd challenge was announced, so why not mix it with some speed?
https://www.shadertoy.com/events/competition2016",38
104,2.01,60.1 fps,420 x 236,Remnant X,421,Dave_Hoskins,2014-09-23,42030,"Binary subdivision finds the surface really well with this fractal. Two light sources with shadows, and near surface glows. MOUSE X TO TIME WARP",37
105,2.24,60.0 fps,420 x 236,Gaussian Blur Simple and Fast,71,existical,2018-10-23,41854,"This is a very simple, compact and very fast Gaussian Blur shader based on the Gaussian Blur shader published at https://xorshaders.weebly.com/tutorials/blur-shaders-5-part-2

This shader is aimed at Speed and FPS. Change settings vars for better quality.",11
106,0.65,60.1 fps,420 x 236,Ellipse - Distance Estimation,60,iq,2013-04-27,41667,"If a circle is deformed into an ellipse distances are nor preserved, and hence its thickness is not constant (left). A (first order) distance estimation can be done by diving the implicit by the modulo of its gradient, producing constant thickness (right)",11
107,0.91,60.1 fps,420 x 236,Two Tweets,100,iq,2013-05-17,41205,"Inspired by Nautilus. An experiment on how far I could go in just 280 characters, the size of 2 tweets.

More info: http://iquilezles.org/articles/derivative/derivative.htm",21
108,2.06,60.1 fps,420 x 236,Volumetric explosion,535,Duke,2016-06-15,40922,"Attempt to add animation to the Supernova remnant shader led to this result.
Press 1-2-3 to zoom in and zoom out.",23
109,0.60,49.6 fps,420 x 236,[SH16B] WIP: Warp Tunnel,234,stubbe,2016-07-17,40814,Music: https://soundcloud.com/rrlewis2/ott-hello-my-name-is,10
110,1.15,60.1 fps,420 x 236,Sirenian Dawn,669,nimitz,2016-03-16,40557,Experiments in raymarched terrain rendering.,32
111,1.21,59.9 fps,420 x 236,Pretty Hip,104,Hadyn,2017-10-09,40643,Definitely some squares. The math is almost certainly more complicated than it needs to be - I'm refusing to think too hard today.,12
112,0.99,60.0 fps,420 x 236,Demo - Volumetric Lines,462,iq,2013-03-23,40327,"Volumetric lines, with a bit of (quickly made) synchronization to JosSs' track.",13
113,1.02,59.9 fps,420 x 236,Oceanic,367,frankenburgh,2013-04-01,40328,"This shader demonstrates volumetric (multi sliced) height-clouds with density (based on fractal noise, 'against sun'-shading and god-rays) and a reflecting water simulation.

Enable/Disable God-Rays by changing the code (see comment)",23
114,1.46,60.0 fps,420 x 236,Heart - 2D,221,iq,2013-01-02,39828,The shader version of love!,9
115,0.71,60.0 fps,420 x 236,Blue Noise Generator,73,paniq,2018-08-13,39785,"generates a new blue noise texture every 60 * 60 frames and then continues to optimize out low frequency noise. Still needs some work, but it's a good start. ",15
116,1.96,60.1 fps,420 x 236,Simplicity Galaxy,753,CBS,2013-06-13,39511,"Parallax scrolling fractal galaxy.
Inspired by JoshP's Simplicity shader: https://www.shadertoy.com/view/lslGWr",26
117,2.10,60.0 fps,420 x 236,Fluid solver,82,davidar,2017-12-20,38823,"Single-pass Navier-Stokes solver, from Simple and Fast Fluids",2
118,2.04,60.0 fps,420 x 236,Global Wind Circulation,168,davidar,2018-06-30,38761,"Generates pressure systems (click to show) and wind flow patterns from a land/ocean map.

Based on The Climate Cookbook and some simple modelling.",15
119,1.30,59.9 fps,420 x 236,Sphere - occlusion,114,iq,2014-11-10,38690,"Analytical ambient occlusion of a sphere. Left side, stochastically sampled occlusion. Right, analytical solution, no rays casted. More info in this article. Move the mouse to compare.",13
120,1.86,60.0 fps,420 x 236,Spout,321,P_Malin,2013-03-07,38618,"An experiment with raymarching and refraction.
Click window and move mouse to rotate. ",19
121,2.08,60.0 fps,420 x 236,[SIG2014] - Total Noob,323,dynamite,2014-08-12,38462,"A circle of color with shape - first shadertoy, this was fun!",3
122,0.95,58.2 fps,420 x 236,Wet stone,464,TDM,2014-10-20,38056,stone generation,43
123,1.30,60.1 fps,420 x 236,Protoplanet,106,davidar,2018-07-07,37999,"What the early Earth may have looked like before it cooled enough for the oceans to form.

https://sservi.nasa.gov/articles/new-nasa-research-shows-giant-asteroids-battered-early-earth/",14
124,1.00,62.1 fps,420 x 236,Cloud Ten,630,nimitz,2015-04-15,37394,Drag mouse horizontally to change planet and vertically for time of day,24
125,2.10,60.0 fps,420 x 236,furball,421,simesgreen,2013-05-28,37276,"Kajiya & Kay style ray-marched fur.

http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.127.5564",28
126,0.36,1.3 fps,420 x 236,Pacman Game,304,iq,2016-04-06,37163,Arrow keys to move. SPACE bar to restart.,49
127,0.81,60.5 fps,420 x 236,[SH17C] Physically Based Shading,516,knarkowicz,2017-07-31,37020,"Click on menu buttons, use controls, rotate object and learn!",32
128,1.41,60.1 fps,420 x 236,glowingMarblingBlack,92,nasana,2020-01-30,36866,https://twitter.com/nasana_x,2
129,1.54,60.0 fps,420 x 236,Truchet Tentacles,237,WAHa_06x36,2013-04-27,36506,"A 3D generalization of Truchet tiling, made out of anodized aluminium.

Now even shinier!

(A shader version of an effect from our old DS demo ""Heinrich-Siegfried Viktor"".)",18
130,2.67,60.0 fps,420 x 236,Tileable Water Caustic,480,Dave_Hoskins,2014-04-07,36439,"Found this on GLSL sandbox. I really liked it, changed a few things and made it tile-able. 
Check out the #define to see the tiling.
See it full-screen if you can.",15
131,1.66,60.0 fps,420 x 236,Diffusion-limited aggregation,64,davidar,2016-01-23,36080,"https://en.wikipedia.org/wiki/Diffusion-limited_aggregation
http://paulbourke.net/fractals/dla/

Click to reinitialise.",3
132,2.38,60.0 fps,420 x 236,Clouds-2D,79,murieron,2020-04-29,35878,murieron shader,2
133,2.04,60.0 fps,420 x 236,Gaussian Blur,156,mrharicot,2013-05-11,35731,Could be faster with two passes,3
134,1.35,59.9 fps,420 x 236,Hydraulic Erosion,47,davidar,2018-06-05,35667,"Landscape evolution model (fluvial incision and tectonic uplift) using the stream power law, loosely based on https://arxiv.org/abs/1803.02977

You need to let it run for a few minutes for the rivers to grow.",2
135,2.09,60.0 fps,420 x 236,crumpledWave,66,nasana,2020-01-29,35705,https://twitter.com/nasana_x,1
136,1.08,59.9 fps,420 x 236,Generators,381,Kali,2013-10-10,35607,Generators!,40
137,2.03,60.0 fps,420 x 236,Perspex Web Lattice,565,Shane,2016-07-06,35170,Yet another Voronoi variation.,48
138,0.96,59.9 fps,420 x 236,002-Blue,41,haquxx,2020-01-29,35062,Raymarching,1
139,1.60,60.0 fps,420 x 236,Watercolour Earth,29,davidar,2018-07-05,34865,"Water vapour evaporates from the ocean, is carried by wind currents, then rains onto the land, painting it with vegetation.

See also: https://www.shadertoy.com/view/MdGBWG",5
140,0.28,1.0 fps,420 x 236,Rounded Voxels,184,iq,2013-12-06,34814,"Another regular voxel renderer. When a voxel is hit, a distance field is raymarched inside the cell in order to shape it in any arbitrary shape. Looks cool with a video rather than a static texture ^_^",6
